Peter Land
Carsten Höller
Gabriel Orozco
Pierre Joseph
Lothar Hempel
Maurizio Cattelan
Angela Bulloch
Jason Rhoades
Henry Bond
Vanessa Beecroft
Liam Gillick
Jorge Pardo
Pierre Huyghe
Philippe Parreno
Miltos Manetas
Henrik Plenge Jakobsen
Jes Brinch
Jens Haaning
Rirkrit Tiravanija
Gillian Wearing
Noritoshi Hirakawa
Christine Hill
Douglas Gordon
Dominique Gonzalez-Foerster
Cercle Ramo Nash
Jeremy Deller
Karen Kilimnik
Giorgina Starr
Ben Kinmont
Lincoln Tobier
Heimo Zobernig
Franz West
Eric Duyckaerts
Andrea Fraser
Esther Schipper
Sam Samore
Clegg & Guttmann
Fareed Armaly
Mark Dion
Dan Peterman
Niek Van de Steeg
Mark Kostabi
Philippe Thomas
Fabrice Hybert
Guillaume Bijl
Julia Sher
Felix Gonzalez-Torres
Matthew McCaslin
Liz Arner
Damien Hirst
Alighiero Boetti
Bernard Joisten
Allen Ruppersberg
Cheryl Donegan
Mike Kelley
Paul McCarthy
