Peter LAND
Carsten HÖLLER
Gabriel OROZCO
Pierre JOSEPH
Lothar HEMPEL
Maurizio CATTELAN
Angela BULLOCH
Jason RHOADES
Henry BOND
Vanessa BEECROFT
Liam GILLICK
Jorge PARDO
Pierre HUYGHE
Philippe PARRENO
Miltos MANETAS
Henrik PLENGE JAKOBSEN
Jes BRINCH
Jens HAANING
Rirkrit TIRAVANIJA
Gillian WEARING
Noritoshi HIRAKAWA
Christine HILL
Douglas GORDON
Dominique GONZALEZ-FOERSTER
ø CERCLE RAMO NASH
Jeremy DELLER
Karen KILIMNIK
Giorgina STARR
Ben KINMONT
Lincoln TOBIER
Heimo ZOBERNIG
Franz WEST
Eric DUYCKAERTS
Andrea FRASER
Esther SCHIPPER
Sam SAMORE
Clegg & Guttman
Fareed ARMALY
Mark DION
Dan PETERMAN
Niek VAN DE STEEG
Mark KOSTABI
Philippe THOMAS
Fabrice HYBER
Guillaume BIJL
Julia SHER
Felix GONZALEZ-TORRES
Matthew MCCASLIN
Liz ARNER
Damien HIRST
Alighiero BOETTI
Bernard JOISTEN
Allen RUPPERSBERG
Cheryl DONEGAN
Mike KELLEY
Paul MCCARTHY
