étape 1,étape 2,étape 3,étape 4,étape 5,étape 6,étape 7,étape 8,étape 9,étape 10,étape 11,étape 12,étape 13,étape 14,étape 15,étape 16,étape 17,étape 18,étape 19,étape 20,acquisition_year,acquisition_mode,creation_date,domain,adn_complet,adn_simplifie,nbExpos,probaExpoAns,probaEvtsAns,artisteDom,natioArtiste
acquisition,transfert,,,,,,,,,,,,,,,,,,,1984,Achat,,Photographie,AT,AT,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1984,Achat,,Objet/Design,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1984,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,italienne
acquisition,exposition,,,,,,,,,,,,,,,,,,,1984,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,italienne
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,dépot,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AD,AD,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,A,A,,0,0.03333333333333333,étranger,britannique
acquisition,exposition,exposition,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AEE,AE,,0.06666666666666667,0.1,,
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,A,A,,0.03333333333333333,0.03333333333333333,,
acquisition,exposition,exposition,dépot,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AEED,AED,,0.06666666666666667,0.13333333333333333,,
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,exposition,exposition,,,,,,,,,,,,,,,,,1985,Achat en salon,,Photographie,AEEE,AE,,0.1,0.13333333333333333,français,française
acquisition,dépot,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet,AD,AD,,0,0.06666666666666667,étranger,italienne
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Photographie,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Oeuvre en 3 dimensions,AE,AE,,0.06666666666666667,0.06666666666666667,étranger,argentine
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet,A,A,,0,0.03333333333333333,étranger,américaine
acquisition,exposition,exposition,exposition,,,,,,,,,,,,,,,,,1985,Achat,,Sculpture,AEEE,AE,,0.1,0.13333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet,A,A,,0,0.03333333333333333,étranger,mexicaine
acquisition,,,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1986,Achat,,Objet/Design,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,exposition,,,,,,,,,,,,,,,,,,1985,Achat,,Objet/Design,AEE,AE,,0.06666666666666667,0.1,étranger,américaine
acquisition,exposition,,,,,,,,,,,,,,,,,,,1986,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,néerlandaise
acquisition,exposition,,,,,,,,,,,,,,,,,,,1986,Achat,,Objet/Design,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,argentine
acquisition,,,,,,,,,,,,,,,,,,,,1986,Achat,,Objet/Design,A,A,,0,0.03333333333333333,,
acquisition,,,,,,,,,,,,,,,,,,,,1986,Achat,,Objet/Design,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1983,Achat,,Photographie,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,exposition,exposition,,,,,,,,,,,,,,,,,1985,Achat,,Photographie,AEEE,AE,,0.13333333333333333,0.13333333333333333,,
acquisition,exposition,,,,,,,,,,,,,,,,,,,1985,Achat,,Photographie,AE,AE,,0.03333333333333333,0.06666666666666667,,
acquisition,exposition,exposition,exposition,,,,,,,,,,,,,,,,,1981,Achat,,Objet,AEEE,AE,,0.1,0.13333333333333333,français,française
acquisition,dépot,transfert,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,ADT,ADT,,0,0.1,français,française
acquisition,dépot,transfert,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,ADT,ADT,,0,0.1,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,croate
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,français,française
acquisition,dépot,exposition,transfert,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,ADET,ADET,,0.03333333333333333,0.13333333333333333,français,française
acquisition,exposition,exposition,exposition,exposition,,,,,,,,,,,,,,,,1980,Achat,,Peinture,AEEEE,AE,,0.13333333333333333,0.16666666666666666,français,française (roumaine (avant 1948) à la naissance)
acquisition,exposition,transfert,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,AET,AET,,0.03333333333333333,0.1,étranger,canadienne
acquisition,exposition,exposition,transfert,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,AEET,AET,,0.06666666666666667,0.13333333333333333,étranger,argentine depuis 1987 (italienne à la naissance)
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,étranger,italienne
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Peinture,A,A,,0,0.03333333333333333,français,française
acquisition,transfert,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,AT,AT,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,étranger,argentine
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AD,AD,,0,0.06666666666666667,étranger,bolivienne
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AD,AD,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,exposition,exposition,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AEEE,AE,,0.1,0.13333333333333333,français,française (belge à la naissance)
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,exposition,exposition,exposition,exposition,exposition,transfert,,,,,,,,,,,,,1981,Achat,,Peinture,AEEEEEET,AET,,0.2,0.26666666666666666,français,française depuis 1966 (hongroise (avant 1946) à la naissance)
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française depuis 1985 (polonaise à la naissance)
