deposit_year,deposit_loc,deposit_category,weight
1990,En dépôt depuis le 29/05/1990 : Tribunal de Grande Instance (Paris),dépôt non culturel,0.0012195121951219512
2007,En dépôt depuis le 05/07/2007 : Présidence de la République (Paris),dépôt non culturel,0.0011001100110011
2012,En dépôt depuis le 18/10/2012 : Assemblée nationale (Paris),dépôt non culturel,0.0008084074373484236
2008,En dépôt depuis le 19/02/2008 : Voies Navigables de France (Béthune),dépôt non culturel,0.0010193679918450561
2015,En dépôt depuis le 28/07/2015 : Musée des Beaux-Arts de Tours,dépôt culturel,0.0008084074373484236
2015,En dépôt depuis le 28/07/2015 : Musée des Beaux-Arts de Tours,dépôt culturel,0.0008084074373484236
2014,En dépôt depuis le 28/02/2014 : Assemblée nationale (Paris),dépôt non culturel,0.0008084074373484236
1988,"En dépôt depuis le 13/09/1988 : Ministère de l'Equipement, des transports et du tourisme (Puteaux)",dépôt non culturel,0.0012970168612191958
1983,En dépôt depuis le 31/05/1983 : Assemblée nationale (Paris),dépôt non culturel,0.0006203473945409429
2012,En dépôt depuis le 15/06/2012 : Sénat (Paris),dépôt non culturel,0.0008084074373484236
2016,En dépôt depuis le 14/03/2016 : Ministère des affaires étrangères (Paris),dépôt non culturel,0.0008084074373484236
2000,"En dépôt depuis le 27/01/2000 : Conseil économique, social et environnemental (Paris)",dépôt non culturel,0.0009718172983479105
2015,En dépôt depuis le 05/11/2015 : Ministère de la Défense - Balard (Paris),dépôt non culturel,0.0008084074373484236
1987,En dépôt depuis 1987 : Service d'information du gouvernement (Paris),dépôt non culturel,0.001579778830963665
2013,En dépôt depuis le 28/01/2013 : Présidence de la République (Paris),dépôt non culturel,0.0008084074373484236
2007,En dépôt depuis le 29/06/2007 : Ambassade de France aux Philippines (Manille),dépôt non culturel,0.0011001100110011
1994,En dépôt depuis le 03/03/1994 : Ordre des avocats (Paris),dépôt non culturel,0.0014992503748125937
